username;password;role
Bondowoso;cintaroro;bandung_bondowoso
Roro;gasukabondo;roro_jonggrang
jin_kuli2;kulisejati;jin_pembangun
jin_kuli4;kulisejati;jin_pembangun
jin2;jinsatu;jin_pengumpul
jin3;jinsatu;jin_pengumpul
jin4;jinsatu;jin_pengumpul
jin5;jinsatu;jin_pengumpul
jin6;jinsatu;jin_pengumpul
jin1000;12345;jin_pengumpul
jin1002;12345;jin_pembangun
12345;aabvced;jin_pengumpul
jinlaki;12345;jin_pembangun
gatau lagi;12345;jin_pembangun
jin_kuli1;kulisejati;jin_pembangun
jin_kuli3;kulisejati;jin_pembangun
